Sequence ID,User,Start Time,Duration (min),Length,Complete Sequence,Starting Activity,Ending Activity
0,0,2023-12-06 17:15:28,57.2,32,observing → walking → wiring → adjusting_tool → adjusting_tool → adjusting_tool → wiring → adjusting_tool → wiring → adjusting_tool → walking → using_flexpendant_mounted → using_flexpendant_mobile → preparing_buildplate → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mounted → adjusting_tool → adjusting_tool → adjusting_tool → toggle_lights → close_door → open_door → toggle_lights → adjusting_tool → toggle_lights → close_door → open_door → toggle_lights → adjusting_tool → toggle_lights → close_door,observing,close_door
1,0,2023-12-06 18:28:19,31.6,16,open_door → toggle_lights → adjusting_tool → wiring → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → toggle_lights → close_door → close_door → open_door → toggle_lights → adjusting_tool → toggle_lights → adjusting_tool,open_door,adjusting_tool
2,0,2023-12-08 15:33:13,30.7,18,adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool → using_control_panel → using_flexpendant_mounted → using_flexpendant_mounted → using_flexpendant_mobile → using_flexpendant_mobile → using_flexpendant_mounted → using_control_panel → using_flexpendant_mobile → toggle_lights → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel,adjusting_tool,using_control_panel
3,0,2023-12-11 18:11:22,0.5,4,adjusting_tool → adjusting_tool → adjusting_tool → adjusting_tool,adjusting_tool,adjusting_tool
4,0,2023-12-11 19:12:19,1.1,4,toggle_lights → adjusting_tool → adjusting_tool → wiring,toggle_lights,wiring
5,0,2023-12-11 19:57:03,44.1,33,using_flexpendant_mounted → using_flexpendant_mobile → adjusting_tool → adjusting_tool → wiring → wiring → adjusting_tool → adjusting_tool → adjusting_tool → toggle_lights → close_door → close_door → wiring → close_door → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → open_door → toggle_lights → adjusting_tool → toggle_lights → close_door → using_control_panel → open_door → toggle_lights → adjusting_tool → wiring → adjusting_tool → adjusting_tool,using_flexpendant_mounted,adjusting_tool
6,0,2024-01-09 16:45:58,7.8,17,wiring → wiring → walking → adjusting_tool → wiring → walking → using_control_panel → walking → turning_gas_knobs → walking → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → inspecting_buildplate → observing → walking,wiring,walking
7,0,2024-01-09 17:33:55,10.6,5,observing → wiring → walking → walking → walking,observing,walking
8,0,2024-01-09 18:00:58,6.4,5,wiring → walking → walking → adjusting_tool → adjusting_tool,wiring,adjusting_tool
9,0,2024-01-09 18:24:34,40.3,60,adjusting_tool → adjusting_tool → adjusting_tool → wiring → wiring → wiring → wiring → wiring → wiring → observing → walking → walking → walking → walking → using_flexpendant_mounted → walking → observing → walking → preparing_buildplate → using_flexpendant_mobile → walking → adjusting_tool → walking → preparing_buildplate → walking → walking → using_flexpendant_mobile → inspecting_buildplate → walking → toggle_lights → close_door → wiring → close_door → walking → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → open_door → inspecting_buildplate → wiring → walking → observing → close_door → walking → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → open_door → inspecting_buildplate → observing → walking,adjusting_tool,walking
10,0,2024-01-09 19:57:45,0.0,10,toggle_lights → close_door → walking → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_control_panel → using_flexpendant_mounted → walking,toggle_lights,walking
11,0,2024-01-09 20:13:07,14.4,14,using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → using_control_panel → using_flexpendant_mounted → walking → open_door → toggle_lights → open_door → observing → walking → turning_gas_knobs → walking,using_control_panel,walking
12,0,2024-01-10 18:38:04,1.0,4,observing → walking → turning_gas_knobs → using_flexpendant_mobile,observing,using_flexpendant_mobile
